from_id,relationship_type,to_id,established_by,rating_required
SYS.4,HAS_OUTCOME,SYS.4.OUT.1,null,null
SYS.4,HAS_OUTCOME,SYS.4.OUT.2,null,null
SYS.4,HAS_OUTCOME,SYS.4.OUT.3,null,null
SYS.4,HAS_OUTCOME,SYS.4.OUT.4,null,null
SYS.4,HAS_OUTCOME,SYS.4.OUT.5,null,null
SYS.4,HAS_OUTCOME,SYS.4.OUT.6,null,null
SYS.4,HAS_OUTCOME,SYS.4.OUT.7,null,null
SYS.5,HAS_BASE_PRACTICE,SYS.5.BP1,null,null
SYS.5,HAS_BASE_PRACTICE,SYS.5.BP2,null,null
SYS.5,HAS_BASE_PRACTICE,SYS.5.BP3,null,null
SYS.5,HAS_BASE_PRACTICE,SYS.5.BP4,null,null
SYS.5,HAS_BASE_PRACTICE,SYS.5.BP5,null,null
SYS.5,BELONGS_TO,SYS,null,null
SYS.5,HAS_OUTCOME,SYS.5.OUT.1,null,null
SYS.5,HAS_OUTCOME,SYS.5.OUT.2,null,null
SYS.5,HAS_OUTCOME,SYS.5.OUT.3,null,null
SYS.5,HAS_OUTCOME,SYS.5.OUT.4,null,null
SYS.5,HAS_OUTCOME,SYS.5.OUT.5,null,null
SYS.5,HAS_OUTCOME,SYS.5.OUT.6,null,null
VAL.1,HAS_BASE_PRACTICE,VAL.1.BP1,null,null
VAL.1,HAS_BASE_PRACTICE,VAL.1.BP2,null,null
VAL.1,HAS_BASE_PRACTICE,VAL.1.BP3,null,null
VAL.1,HAS_BASE_PRACTICE,VAL.1.BP4,null,null
VAL.1,HAS_BASE_PRACTICE,VAL.1.BP5,null,null
VAL.1,BELONGS_TO,VAL,null,null
VAL.1,HAS_OUTCOME,VAL.1.OUT.1,null,null
VAL.1,HAS_OUTCOME,VAL.1.OUT.2,null,null
VAL.1,HAS_OUTCOME,VAL.1.OUT.3,null,null
VAL.1,HAS_OUTCOME,VAL.1.OUT.4,null,null
SWE.1,HAS_BASE_PRACTICE,SWE.1.BP1,null,null
SWE.1,HAS_BASE_PRACTICE,SWE.1.BP2,null,null
SWE.1,HAS_BASE_PRACTICE,SWE.1.BP3,null,null
SWE.1,HAS_BASE_PRACTICE,SWE.1.BP4,null,null
SWE.1,HAS_BASE_PRACTICE,SWE.1.BP5,null,null
SWE.1,HAS_BASE_PRACTICE,SWE.1.BP6,null,null
SWE.1,BELONGS_TO,SWE,null,null
SWE.1,HAS_OUTCOME,SWE.1.OUT.1,null,null
SWE.1,HAS_OUTCOME,SWE.1.OUT.2,null,null
SWE.1,HAS_OUTCOME,SWE.1.OUT.3,null,null
SWE.1,HAS_OUTCOME,SWE.1.OUT.4,null,null
SWE.1,HAS_OUTCOME,SWE.1.OUT.5,null,null
SWE.1,HAS_OUTCOME,SWE.1.OUT.6,null,null
SWE.1,HAS_OUTCOME,SWE.1.OUT.7,null,null
SWE.2,HAS_BASE_PRACTICE,SWE.2.BP1,null,null
SWE.2,HAS_BASE_PRACTICE,SWE.2.BP2,null,null
SWE.2,HAS_BASE_PRACTICE,SWE.2.BP3,null,null
SWE.2,HAS_BASE_PRACTICE,SWE.2.BP4,null,null
SWE.2,HAS_BASE_PRACTICE,SWE.2.BP5,null,null
SWE.2,BELONGS_TO,SWE,null,null
SWE.2,HAS_OUTCOME,SWE.2.OUT.1,null,null
SWE.2,HAS_OUTCOME,SWE.2.OUT.2,null,null
SWE.2,HAS_OUTCOME,SWE.2.OUT.3,null,null
SWE.2,HAS_OUTCOME,SWE.2.OUT.4,null,null
SWE.3,HAS_BASE_PRACTICE,SWE.3.BP1,null,null
SWE.3,HAS_BASE_PRACTICE,SWE.3.BP2,null,null
SWE.3,HAS_BASE_PRACTICE,SWE.3.BP3,null,null
SWE.3,HAS_BASE_PRACTICE,SWE.3.BP4,null,null
SWE.3,HAS_BASE_PRACTICE,SWE.3.BP5,null,null
SWE.3,BELONGS_TO,SWE,null,null
SWE.3,HAS_OUTCOME,SWE.3.OUT.1,null,null
SWE.3,HAS_OUTCOME,SWE.3.OUT.2,null,null
SWE.3,HAS_OUTCOME,SWE.3.OUT.3,null,null
SWE.3,HAS_OUTCOME,SWE.3.OUT.4,null,null
SWE.3,HAS_OUTCOME,SWE.3.OUT.5,null,null
SWE.3,HAS_OUTCOME,SWE.3.OUT.6,null,null
SWE.4,HAS_BASE_PRACTICE,SWE.4.BP1,null,null
SWE.4,HAS_BASE_PRACTICE,SWE.4.BP2,null,null
SWE.4,HAS_BASE_PRACTICE,SWE.4.BP3,null,null
SWE.4,HAS_BASE_PRACTICE,SWE.4.BP4,null,null
SWE.4,HAS_BASE_PRACTICE,SWE.4.BP5,null,null
SWE.4,BELONGS_TO,SWE,null,null
SWE.4,HAS_OUTCOME,SWE.4.OUT.1,null,null
SWE.4,HAS_OUTCOME,SWE.4.OUT.2,null,null
SWE.4,HAS_OUTCOME,SWE.4.OUT.3,null,null
SWE.4,HAS_OUTCOME,SWE.4.OUT.4,null,null
SWE.4,HAS_OUTCOME,SWE.4.OUT.5,null,null
SWE.4,HAS_OUTCOME,SWE.4.OUT.6,null,null
SWE.5,HAS_BASE_PRACTICE,SWE.5.BP1,null,null
SWE.5,HAS_BASE_PRACTICE,SWE.5.BP2,null,null
SWE.5,HAS_BASE_PRACTICE,SWE.5.BP3,null,null
SWE.5,HAS_BASE_PRACTICE,SWE.5.BP4,null,null
SWE.5,HAS_BASE_PRACTICE,SWE.5.BP5,null,null
SWE.5,HAS_BASE_PRACTICE,SWE.5.BP6,null,null
SWE.5,HAS_BASE_PRACTICE,SWE.5.BP7,null,null
SWE.5,BELONGS_TO,SWE,null,null
SWE.5,HAS_OUTCOME,SWE.5.OUT.1,null,null
SWE.5,HAS_OUTCOME,SWE.5.OUT.2,null,null
SWE.5,HAS_OUTCOME,SWE.5.OUT.3,null,null
SWE.5,HAS_OUTCOME,SWE.5.OUT.4,null,null
SWE.5,HAS_OUTCOME,SWE.5.OUT.5,null,null
